學校,在學學生數男,在學學生數女,在學學生數小計
國立臺灣科技大學,8066,3783,11849
國立雲林科技大學,6387,4083,10470
國立屏東科技大學,5743,4260,10003
國立臺北科技大學,9557,3940,13497
國立虎尾科技大學,9410,2566,11976
國立澎湖科技大學,1523,865,2388
國立勤益科技大學,9367,3143,12510
國立臺北護理健康大學,1009,4192,5201
國立高雄餐旅大學,1454,2647,4101
國立臺中科技大學,5323,10439,15762
國立臺北商業大學,2303,4645,6948
國立高雄科技大學,17714,9705,27419
國立臺灣戲曲學院,170,279,449
國立臺南護理專科學校,214,1778,1992
國立臺東專科學校,393,204,597
朝陽科技大學,6027,7125,13152
南臺學校財團法人南臺科技大學,8590,5917,14507
崑山科技大學,4962,3211,8173
嘉藥學校財團法人嘉南藥理大學,3737,5173,8910
樹德科技大學,3754,4472,8226
龍華科技大學,8119,3221,11340
輔英科技大學,2132,6148,8280
明新學校財團法人明新科技大學,5932,3977,9909
弘光科技大學,3851,7469,11320
健行學校財團法人健行科技大學,5356,3421,8777
正修學校財團法人正修科技大學,9451,5506,14957
萬能學校財團法人萬能科技大學,4421,3460,7881
建國科技大學,2364,1133,3497
明志科技大學,3119,1264,4383
台鋼學校財團法人台鋼科技大學,876,364,1240
大仁科技大學,1563,2246,3809
聖約翰科技大學,320,147,467
嶺東科技大學,3624,4731,8355
中國科技大學,2778,2783,5561
中臺科技大學,1983,4119,6102
台南家專學校財團法人台南應用科技大學,2673,6415,9088
中信金學校財團法人中信科技大學,1282,492,1774
光宇學校財團法人元培醫事科技大學,1402,2169,3571
景文科技大學,2001,2353,4354
中華醫事科技大學,1968,5000,6968
東南科技大學,2209,1347,3556
德明財經科技大學,2238,2848,5086
南開科技大學,1591,847,2438
中華學校財團法人中華科技大學,1907,959,2866
僑光科技大學,4332,3663,7995
廣亞學校財團法人育達科技大學,1537,1849,3386
美和學校財團法人美和科技大學,1253,3207,4460
吳鳳科技大學,2353,1580,3933
修平學校財團法人修平科技大學,2344,1014,3358
長庚學校財團法人長庚科技大學,714,5274,5988
城市學校財團法人臺北城市科技大學,5206,3572,8778
大華學校財團法人敏實科技大學,655,416,1071
醒吾學校財團法人醒吾科技大學,2248,3386,5634
文藻學校財團法人文藻外語大學,1834,5015,6849
華夏學校財團法人華夏科技大學,568,254,839
致理學校財團法人致理科技大學,3827,7030,10857
宏國學校財團法人宏國德霖科技大學,2523,1769,4292
崇右學校財團法人崇右影藝科技大學,501,613,1114
台北海洋學校財團法人台北海洋科技大學,2058,1563,3621
亞東學校財團法人亞東科技大學,2603,1347,3950
大漢技術學院,181,129,310
南亞科技學校財團法人南亞技術學院,794,1030,1824
黎明技術學院,2851,2073,4924
德育學校財團法人德育護理健康學院,871,2296,3167
馬偕學校財團法人馬偕醫護管理專科學校,660,3386,4046
仁德醫護管理專科學校,1339,4119,5458
樹人醫護管理專科學校,1660,5553,7213
慈惠醫護管理專科學校,420,1378,1798
耕莘健康管理專科學校,420,3511,3931
敏惠醫護管理專科學校,473,2833,3306
育英醫護管理專科學校,169,1535,1704
聖母醫護管理專科學校,246,1170,1416
新生醫護管理專科學校,773,5188,5961
崇仁醫護管理專科學校,469,2488,2957